id,goals,own_goals,shots,xG,time,player_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,match_id,season,side
548641,0,0,1,0.4157530069351196,85,462,73,MC,Dan Gosling,h,1,0,548646,0,0,0,0.0,0.4938740134239197,0.0781207010149955,9,82,2015,h
548642,0,0,2,0.1466750055551529,70,466,73,ML,Marc Pugh,h,0,0,548647,0,0,0,0.0,0.1484159976243972,0.1005449965596199,10,82,2015,h
548643,0,0,2,0.0750275999307632,54,465,73,FW,Joshua King,h,1,0,548645,0,1,0,0.0224238000810146,0.1214869990944862,0.0240359995514154,15,82,2015,h
548644,0,0,2,0.1315660029649734,90,468,73,FW,Callum Wilson,h,0,0,0,0,0,0,0.0,0.6176139712333679,0.486048012971878,15,82,2015,h
548646,0,0,0,0.0,5,472,73,Sub,Eunan O&#039;Kane,h,0,0,0,548641,0,0,0.0,0.0,0.0,17,82,2015,h
548647,0,0,0,0.0,20,464,73,Sub,Max Gradel,h,0,0,0,548642,0,0,0.0,0.0,0.0,17,82,2015,h
548645,0,0,0,0.0,36,957,73,Sub,Yann Kermorgant,h,0,0,0,548643,0,0,0.0,0.0,0.0,17,82,2015,h
548648,0,0,0,0.0,90,662,71,GK,Brad Guzan,a,0,0,0,0,0,0,0.0,0.0,0.0,1,82,2015,a
548649,0,0,1,0.0973708033561706,90,674,71,DR,Leandro Bacuna,a,1,0,0,0,0,0,0.0,0.1136680021882057,0.1136680021882057,2,82,2015,a
548650,0,0,0,0.0,90,875,71,DC,Ciaran Clark,a,1,0,0,0,0,0,0.0,0.1319369971752166,0.1319369971752166,3,82,2015,a
548651,0,0,0,0.0,90,665,71,DC,Micah Richards,a,0,0,0,0,1,0,0.0546761006116867,0.1683440059423446,0.1136680021882057,3,82,2015,a
548652,0,0,0,0.0,90,961,71,DL,Jordan Amavi,a,0,0,0,0,0,0,0.0,0.0,0.0,4,82,2015,a
548654,0,0,2,0.1319369971752166,90,668,71,MC,Idrissa Gueye,a,1,0,0,0,0,0,0.0,0.1319369971752166,0.0,9,82,2015,a
