id,league,season,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
71,EPL,2014,Aston Villa,a,1.50195,0.472898,1.50195,0.472898,10.31578947368421,8.088235294117647,3,9,4,0,2.2547,w,2015-03-14 15:00:00,1,0,0,3,1.029052
71,EPL,2014,Aston Villa,h,0.762371,1.90437,0.762371,1.90437,12.0,7.772727272727272,7,5,0,1,0.52,l,2015-03-21 15:00:00,0,0,1,0,-1.1419989999999998
71,EPL,2014,Aston Villa,a,0.311787,1.9836,0.311787,1.9836,25.071428571428573,3.5454545454545454,3,11,1,3,0.244,l,2015-04-04 15:00:00,0,0,1,0,-1.671813
71,EPL,2014,Aston Villa,h,1.86698,1.43061,1.86698,1.43061,6.5,8.863636363636363,5,3,3,3,1.6745,d,2015-04-07 19:45:00,0,1,0,1,0.4363700000000001
71,EPL,2014,Aston Villa,a,0.860976,0.621738,0.860976,0.621738,6.868421052631579,5.62962962962963,4,4,1,0,1.5858,w,2015-04-11 15:00:00,1,0,0,3,0.2392379999999999
71,EPL,2014,Aston Villa,a,0.901376,1.1892,0.901376,1.1892,12.0,16.166666666666668,2,7,2,3,1.0799,l,2015-04-25 17:30:00,0,0,1,0,-0.2878240000000001
71,EPL,2014,Aston Villa,h,1.56179,1.4049,1.56179,0.643736,8.142857142857142,18.818181818181817,3,5,3,2,1.4733,w,2015-05-02 15:00:00,1,0,0,3,0.918054
71,EPL,2014,Aston Villa,h,1.26585,0.149381,1.26585,0.149381,12.857142857142858,12.11111111111111,9,2,1,0,2.4616,w,2015-05-09 15:00:00,1,0,0,3,1.116469
71,EPL,2014,Aston Villa,a,1.18593,3.59558,1.18593,3.59558,18.875,10.535714285714286,3,6,1,6,0.2045,l,2015-05-16 12:45:00,0,0,1,0,-2.40965
71,EPL,2014,Aston Villa,h,0.654751,0.66113,0.654751,0.66113,10.8,19.642857142857142,5,6,0,1,1.2611,l,2015-05-24 15:00:00,0,0,1,0,-0.006379
72,EPL,2014,Everton,a,0.613273,1.2783,0.613273,1.2783,11.6875,14.48,15,1,2,2,0.7617,d,2014-08-16 15:00:00,0,1,0,1,-0.665027
72,EPL,2014,Everton,h,1.33429,1.43355,1.33429,1.43355,15.882352941176473,7.787878787878788,3,8,2,2,1.279,d,2014-08-23 17:30:00,0,1,0,1,-0.0992600000000001
72,EPL,2014,Everton,h,1.4491,2.02665,1.4491,2.02665,6.185185185185185,10.586206896551724,11,7,3,6,0.9794,l,2014-08-30 17:30:00,0,0,1,0,-0.57755
72,EPL,2014,Everton,a,0.807492,0.602059,0.807492,0.602059,19.153846153846157,9.382352941176473,4,6,2,0,1.543,w,2014-09-13 15:00:00,1,0,0,3,0.2054329999999999
72,EPL,2014,Everton,h,2.56122,1.62886,1.80005,0.867691,5.2105263157894735,22.95,14,4,2,3,2.067,l,2014-09-21 16:00:00,0,0,1,0,0.932359
72,EPL,2014,Everton,a,0.475885,1.5286,0.475885,1.5286,10.85,12.0,3,8,1,1,0.5026999999999999,d,2014-09-27 12:45:00,0,1,0,1,-1.052715
72,EPL,2014,Everton,a,2.13558,1.6239,1.37441,1.6239,13.45,7.444444444444445,7,4,1,2,1.7560999999999998,l,2014-10-05 12:00:00,0,0,1,0,-0.24949
72,EPL,2014,Everton,h,1.67016,0.37205,1.67016,0.37205,16.083333333333332,17.25,7,6,3,0,2.4744,w,2014-10-18 15:00:00,1,0,0,3,1.29811
